species,paradigm,unit,f1_mean,f1_std,f1_n,auroc_mean,auroc_std,auroc_n,precision_mean,precision_std,precision_n,recall_mean,recall_std,recall_n,balanced_acc_mean,balanced_acc_std,balanced_acc_n,is_outlier,outlier_reason
minipigs,single-subject,sub-04,0.4133060971895854,0.007298641776248103,3,0.8362821737925211,0.005779664325621197,3,0.5096213519573212,0.04129753796623607,3,0.4186426897843678,0.00732381487485218,3,0.4186426897843678,0.00732381487485218,3,False,
minipigs,single-subject,sub-05,0.36071746548016864,0.016486012484462152,3,0.6432978312174479,0.012114292628441317,3,0.41320035854975384,0.05784874908002619,3,0.35964615146319073,0.018111732623184634,3,0.35964615146319073,0.018111732623184634,3,False,
minipigs,single-subject,sub-06,0.1148743256926536,0.07530305161000733,3,0.5560704867045084,0.0572071860953546,3,0.12430858363707857,0.11406695257880967,3,0.15291628241539,0.04545355576044279,3,0.15291628241539,0.04545355576044279,3,False,
minipigs,single-subject,sub-07,0.44238536556561786,0.032836942407215845,3,0.673407773176829,0.01597235536919536,3,0.44742250442504883,0.03199955498383969,3,0.44285889466603595,0.033058420632033465,3,0.44285889466603595,0.033058420632033465,3,False,
minipigs,multi-subject,all,0.3596874475479126,0.0034366359225801208,3,0.7756315469741821,0.005929777673680585,3,0.37916210293769836,0.0030342942198838705,3,0.3594587743282318,0.005061434364681086,3,0.3594587743282318,0.005061434364681086,3,False,
monkeys,single-session,sub-01_ses-010_task-AcousStim_acq-RH_desc-raw,0.5135890245437622,0.014808379656788955,3,0.5262377659479777,0.005217072226750167,3,0.5904783407847086,0.054370072701508954,3,0.5231200059254965,0.011681065528783681,3,0.5231200059254965,0.011681065528783681,3,False,
monkeys,single-session,sub-01_ses-011_task-AcousStim_acq-RH_desc-raw,0.5692846576372782,0.01889321987471692,3,0.898777981599172,0.011773727900110538,3,0.6028440594673157,0.010869267535400406,3,0.5776885549227396,0.018582826076857316,3,0.5776885549227396,0.018582826076857316,3,False,
monkeys,single-session,sub-01_ses-012_task-AcousStim_acq-RH_desc-raw,0.21644391616185502,0.10640698689706554,3,0.3515004913012187,0.023138879017571584,3,0.27331001559893287,0.12777323404120103,3,0.28138889869054157,0.0692486215639908,3,0.28138889869054157,0.0692486215639908,3,False,
monkeys,single-session,sub-01_ses-013_task-AcousStim_acq-RH_desc-raw,0.2528576652208964,0.1877814511750723,3,0.749749759833018,0.10671639682686802,3,0.3291930109262466,0.17144337528676412,3,0.2973117381334304,0.15272944715656667,3,0.2973117381334304,0.15272944715656667,3,False,
monkeys,single-session,sub-01_ses-014_task-AcousStim_acq-RH_desc-raw,0.3654788980881373,0.22082726237299752,3,0.6674822767575582,0.11204140307105788,3,0.4998440047105153,0.168114265444024,3,0.39688535531361896,0.19070825692498783,3,0.39688535531361896,0.19070825692498783,3,False,
monkeys,single-session,sub-01_ses-015_task-AcousStim_acq-RH_desc-raw,0.0777235031127929,0.00034395121167696654,3,0.5298560460408529,0.02118224283610034,3,0.05349608262379963,0.0001305039312080419,3,0.14206349849700928,0.0013746434161354061,3,0.14206349849700928,0.0013746434161354061,3,False,
monkeys,single-session,sub-01_ses-016_task-AcousStim_acq-RH_desc-raw,0.5959609548250834,0.04177050268582492,3,0.15201822916666666,0.008807128423482215,3,0.6810850699742635,0.08371930834331075,3,0.6041666666666666,0.04773516348912333,3,0.6041666666666666,0.04773516348912333,3,False,
monkeys,single-session,sub-01_ses-01_task-AcousStim_acq-RH_desc-raw,0.8574378291765848,0.178387081466145,3,0.35328911741574603,0.034188322086780555,3,0.9048997759819031,0.09623773324936033,3,0.8594081997871399,0.17644470534851503,3,0.8594081997871399,0.17644470534851503,3,False,
monkeys,single-session,sub-01_ses-02_task-AcousStim_acq-RH_desc-raw,0.8371832172075907,0.011741832519526048,3,0.972957968711853,0.005560609362101907,3,0.8548833529154459,0.009918762824463658,3,0.840938409169515,0.01086303154828583,3,0.840938409169515,0.01086303154828583,3,False,
monkeys,single-session,sub-01_ses-03_task-AcousStim_acq-RH_desc-raw,0.8018537163734436,0.034991576708997205,3,0.9515118797620138,0.005783061578688805,3,0.8407872517903646,0.048945053080457435,3,0.8026108543078104,0.034043875488289674,3,0.8026108543078104,0.034043875488289674,3,False,
monkeys,single-session,sub-01_ses-04_task-AcousStim_acq-RH_desc-raw,0.13255144655704493,0.008810177609131636,3,0.7071736454963684,0.04372801422543761,3,0.16977452238400778,0.018895766717631924,3,0.16895424822966257,0.007969766817576626,3,0.16895424822966257,0.007969766817576626,3,False,
monkeys,single-session,sub-01_ses-05_task-AcousStim_acq-RH_desc-raw,0.2810837080081304,0.05915495397361694,3,0.23429299394289652,0.01772118079561134,3,0.45834145943323773,0.0012372762905623837,3,0.3691919247309367,0.016620673716855383,3,0.3691919247309367,0.016620673716855383,3,False,
monkeys,single-session,sub-01_ses-06_task-AcousStim_acq-RH_desc-raw,0.24104509254296616,0.06381595070238281,3,0.30895134806632996,0.009541671990470102,3,0.3606203595797221,0.042717237615316886,3,0.3286210397879283,0.03714530472477738,3,0.3286210397879283,0.03714530472477738,3,False,
monkeys,single-session,sub-01_ses-07_task-AcousStim_acq-RH_desc-raw,0.7101283669471741,0.01305086003405853,3,0.9307079911231995,0.0025541998913122237,3,0.7188531359036764,0.016490812562477697,3,0.7154102325439453,0.011419496722800857,3,0.7154102325439453,0.011419496722800857,3,False,
monkeys,single-session,sub-01_ses-08_task-AcousStim_acq-RH_desc-raw,0.25938693682352704,0.06887058445899542,3,0.7437238097190857,0.038098048811063386,3,0.34273456533749896,0.05581546201603663,3,0.2749393085638682,0.05550453177793763,3,0.2749393085638682,0.05550453177793763,3,False,
monkeys,single-session,sub-01_ses-09_task-AcousStim_acq-RH_desc-raw,0.7310341795285543,0.016040008107921055,3,0.5811360677083334,0.007734224465700225,3,0.749782145023346,0.02976082998789932,3,0.737499992052714,0.012499988079118401,3,0.737499992052714,0.012499988079118401,3,False,
monkeys,single-session,sub-02_ses-01_task-AcousStim_acq-RH_desc-raw,0.2464756816625595,0.0,3,0.20154256621996558,0.0023373775148896863,3,0.19552670419216148,0.0,3,0.3333333432674408,0.0,3,0.3333333432674408,0.0,3,False,
monkeys,single-session,sub-02_ses-02_task-AcousStim_acq-RH_desc-raw,0.06405771647890403,0.015847767550342916,3,0.5356871287027994,0.004923615624668612,3,0.16533315181732175,0.025642915296688933,3,0.1332797010739644,0.008193054105025889,3,0.1332797010739644,0.008193054105025889,3,False,
monkeys,single-session,sub-02_ses-03_task-AcousStim_acq-RH_desc-raw,0.8007248838742574,0.12383370674735888,3,0.2149958858887354,0.02919981183662509,3,0.8446792960166931,0.052100190384185306,3,0.8053186535835266,0.11675457761230007,3,0.8053186535835266,0.11675457761230007,3,False,
monkeys,single-session,sub-02_ses-04_task-AcousStim_acq-RH_desc-raw,1.0,0.0,3,0.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,True,f1>=0.99
