species,embed_dim,depth,self_heads,cross_heads,channel_emb_fraction,weight_decay,n_folds,f1_mean,f1_std,auroc_mean,auroc_std,precision_mean,precision_std,recall_mean,recall_std,balanced_acc_mean,balanced_acc_std
minipigs,128,2,8,6,1/4,0.08,1,0.3621506690979004,0.0,0.7805485725402832,0.0,0.36924928426742554,0.0,0.3607870042324066,0.0,0.3607870042324066,0.0
minipigs,128,2,8,6,1/4,0.1,1,0.36250039935112,0.0,0.7808598279953003,0.0,0.3705459237098694,0.0,0.36086493730545044,0.0,0.36086493730545044,0.0
minipigs,128,2,8,8,1/2,0.08,1,0.37331587076187134,0.0,0.7856591939926147,0.0,0.38488447666168213,0.0,0.3731374740600586,0.0,0.3731374740600586,0.0
minipigs,128,2,8,8,1/3,0.08,1,0.3672390580177307,0.0,0.7768183946609497,0.0,0.3785516023635864,0.0,0.36436301469802856,0.0,0.36436301469802856,0.0
minipigs,128,2,8,8,1/4,0.08,1,0.37465107440948486,0.0,0.7807953357696533,0.0,0.38547372817993164,0.0,0.37317609786987305,0.0,0.37317609786987305,0.0
minipigs,128,4,6,6,1/3,0.08,1,0.36490628123283386,0.0,0.7678312063217163,0.0,0.3764687180519104,0.0,0.36341729760169983,0.0,0.36341729760169983,0.0
minipigs,128,4,6,6,1/3,0.1,1,0.3685834407806397,0.0,0.7679142951965332,0.0,0.37447482347488403,0.0,0.3691008388996124,0.0,0.3691008388996124,0.0
minipigs,128,4,6,6,1/4,0.08,1,0.36017361283302307,0.0,0.7683796882629395,0.0,0.3773958086967468,0.0,0.3590182960033417,0.0,0.3590182960033417,0.0
minipigs,128,4,6,6,1/4,0.1,1,0.36115989089012146,0.0,0.7679781317710876,0.0,0.37995651364326477,0.0,0.3576299250125885,0.0,0.3576299250125885,0.0
minipigs,128,4,6,8,1/2,0.08,1,0.3777259588241577,0.0,0.7871257066726685,0.0,0.38601136207580566,0.0,0.3786078095436096,0.0,0.3786078095436096,0.0
